cluster,citation,id,title,year,authors,what_they_assume
A. Unsupervised landmarks,Thewlis et al. 2017,arXiv:1705.02193,Unsupervised learning of object landmarks by factorized spatial embeddings,2017,"Thewlis, Bilen, Vedaldi",Landmarks emerge from equivariance to KNOWN synthetic warps (supervised transform); no dynamics/operator.
A. Unsupervised landmarks,Jakab et al. 2018,arXiv:1806.07823,Unsupervised learning of object landmarks through conditional image generation,2018,"Jakab, Gupta, Bilen, Vedaldi",Landmarks are bottleneck for RECONSTRUCTING target from source appearance; needs a generator/decoder.
A. Unsupervised landmarks,Zhang et al. 2018,arXiv:1804.04412,Unsupervised discovery of object landmarks as structural representations,2018,"Zhang, Guo, Jin, Luo",Landmarks as structural bottleneck for autoencoding (reconstruction); no transformation operator.
A. Unsupervised landmarks,Lorenz et al. 2019,arXiv:1903.06946,Unsupervised part-based disentangling of object shape and appearance,2019,"Lorenz, Bereska, Milbich, Ommer",Disentangles shape (landmarks) vs appearance via reconstruction + known transforms.
A. Unsupervised landmarks,Thewlis et al. 2019,arXiv:1908.06427,Unsupervised learning of landmarks by descriptor vector exchange,2019,"Thewlis, Albanie, Bilen, Vedaldi","Dense descriptor equivariance under known warps; correspondence, not dynamics."
B. Keypoints for dynamics/control,Suwajanakorn et al. 2018,arXiv:1807.03146,Discovery of latent 3D keypoints via end-to-end geometric reasoning (KeypointNet),2018,"Suwajanakorn, Snavely, Tompson, Norouzi",3D keypoints from KNOWN relative pose between two views (multi-view geometry supervision).
B. Keypoints for dynamics/control,Kulkarni et al. 2019,arXiv:1906.11883,Unsupervised learning of object keypoints for perception and control (Transporter),2019,"Kulkarni, Gupta, Ionescu, et al.","Keypoints via feature TRANSPORT + image reconstruction across frames; RL downstream, no explicit operator."
B. Keypoints for dynamics/control,Minderer et al. 2019,arXiv:1906.07889,Unsupervised learning of object structure and dynamics from videos,2019,"Minderer, Sun, Villegas, et al.",Keypoints + learned dynamics via a stochastic decoder that RECONSTRUCTS video (VRNN over keypoints).
B. Keypoints for dynamics/control,Chen et al. 2021,arXiv:2106.07643,Unsupervised learning of visual 3D keypoints for control,2021,"Chen, Abbeel, Pathak","3D keypoints for RL control; reconstruction + multi-view, keypoints serve policy not operator linearity."
B. Keypoints for dynamics/control,Sun et al. 2021,arXiv:2112.05121,Self-supervised keypoint discovery in behavioral videos (B-KinD),2021,"Sun, Ryou, Goldshmid, et al.","Keypoints from spatiotemporal RECONSTRUCTION difference; behavior, not a transformation operator."
B. Keypoints for dynamics/control,Sun et al. 2022,arXiv:2212.07401,BKinD-3D: self-supervised 3D keypoint discovery from multi-view videos,2022,"Sun, Karashchuk, Dravid, et al.",3D keypoints via multi-view reconstruction; no learned linear operator over keypoints.
C. Equivariance by construction,Cohen & Welling 2016,arXiv:1602.07576,Group equivariant convolutional networks (G-CNN),2016,"Cohen, Welling",Equivariance BUILT IN by construction for a KNOWN group; not discovered from data.
C. Equivariance by construction,Worrall et al. 2016,arXiv:1612.04642,Harmonic networks: deep translation and rotation equivariance,2016,"Worrall, Garbin, Turmukhambetov, Brostow",Continuous SO(2) equivariance hard-wired via circular harmonics; group known a priori.
C. Equivariance by construction,Sabour et al. 2017,arXiv:1710.09829,Dynamic routing between capsules,2017,"Sabour, Frosst, Hinton","Pose encoded in capsule activations via routing; architectural prior, no explicit learned operator."
C. Equivariance by construction,Kaba et al. 2022,arXiv:2211.06489,Equivariance with learned canonicalization functions,2022,"Kaba, Mondal, Zhang, Bengio, Ravanbakhsh",Achieves equivariance by learning to CANONICALIZE input pose; group still specified.
C. Equivariance by construction,Marchetti et al. 2023,arXiv:2207.03116,Equivariant representation learning via class-pose decomposition,2023,"Marchetti, Tegnér, Varava, Kragic",Splits latent into invariant class + equivariant pose on a known group manifold; reconstruction-based.
D. Koopman / linearizing operators,Watter et al. 2015,arXiv:1506.07365,Embed to control: locally linear latent dynamics from raw images (E2C),2015,"Watter, Springenberg, Boedecker, Riedmiller","Learns latent where dynamics are LOCALLY linear for control; via reconstruction VAE, latent not keypoints."
D. Koopman / linearizing operators,Takeishi et al. 2017,arXiv:1710.04340,Learning Koopman invariant subspaces for dynamic mode decomposition,2017,"Takeishi, Kawahara, Yairi","Learns embedding where dynamics are GLOBALLY linear (Koopman); reconstruction of observables, high-dim lift."
D. Koopman / linearizing operators,Lusch et al. 2017,arXiv:1712.09707,Deep learning for universal linear embeddings of nonlinear dynamics,2017,"Lusch, Kutz, Brunton","Autoencoder to Koopman eigenfunctions; linear operator in a LIFTED latent, reconstruction-based."
E. Symmetry / generator discovery,Higgins et al. 2018,arXiv:1812.02230,Towards a definition of disentangled representations,2018,"Higgins, Amos, Pfau, Racaniere, et al.","Defines disentanglement via group-action decomposition; conceptual, assumes group is given."
