condition,seed,frames,checkpoint,shape_weight,shape_sigma_cells,analysis_dtype,coordinate_loss,unweighted_shape_loss,weighted_shape_loss,level,coordinate_gradient_l2,weighted_shape_gradient_l2,shape_to_coordinate_norm_ratio,coordinate_shape_cosine,combined_to_coordinate_norm_ratio,coordinate_descent_multiplier,harmful_cancellation_fraction,reconstruction_relative_error,coordinate_transmission_gain,shape_transmission_gain,coordinate_transmission_vs_control_ratio
repaired_r1,42,"0,3,6,9",/Users/kirubeso.r/Documents/PhD/cluster_downloads/stage_r1_shape_gate_20260705_142241/keypoint_net/diagnostics/outputs/final_material_keypoints/stage_r1_shape_gate/tiny_overfit/coordinate_standard64_k10_shapejs_seed42/model.pt,1.2128231385721024,1.0,float64,0.006394110386981904,0.001722864410141797,0.002089529821242348,logits,0.00011410916658234732,0.00037535725110199574,3.289457476066287,-0.3319176240695835,3.1043312753279704,-0.09182890993385073,1.0918289099338507,0.0,1.0,1.0,1.0
repaired_r1,42,"0,3,6,9",/Users/kirubeso.r/Documents/PhD/cluster_downloads/stage_r1_shape_gate_20260705_142241/keypoint_net/diagnostics/outputs/final_material_keypoints/stage_r1_shape_gate/tiny_overfit/coordinate_standard64_k10_shapejs_seed42/model.pt,1.2128231385721024,1.0,float64,0.006394110386981904,0.001722864410141797,0.002089529821242348,head,0.004395180597248839,0.010524362705943308,2.394523381480849,-0.37487204303994986,2.2222651687440833,0.10236012787734483,0.8976398721226552,8.934215888026265e-14,38.51733150707958,28.038256021550854,0.875831863656425
repaired_r1,42,"0,3,6,9",/Users/kirubeso.r/Documents/PhD/cluster_downloads/stage_r1_shape_gate_20260705_142241/keypoint_net/diagnostics/outputs/final_material_keypoints/stage_r1_shape_gate/tiny_overfit/coordinate_standard64_k10_shapejs_seed42/model.pt,1.2128231385721024,1.0,float64,0.006394110386981904,0.001722864410141797,0.002089529821242348,backbone,0.2409862359726443,0.8256072503699764,3.4259518890684517,-0.27635871338254836,3.292956579407745,0.0532083438265315,0.9467916561734685,1.9725430665156587e-12,2111.891999480477,2199.5239147401853,11.993505358276192
coordinate_only_control,42,"0,3,6,9",/Users/kirubeso.r/Documents/PhD/cluster_downloads/stage_a_k_sweep_53032295/keypoint_net/diagnostics/outputs/final_material_keypoints/stage_a_k_sweep/tiny_overfit/coordinate_standard64_k10_seed42/model.pt,1.2128231385721024,1.0,float64,0.0014245338128154302,0.5620839949088442,0.6817084748464901,logits,2.7121560145342755e-05,0.003623356466353841,133.59690397368362,-0.0018776797583962594,133.5987688825956,0.7491477976242054,0.25085220237579464,0.0,1.0,1.0,
coordinate_only_control,42,"0,3,6,9",/Users/kirubeso.r/Documents/PhD/cluster_downloads/stage_a_k_sweep_53032295/keypoint_net/diagnostics/outputs/final_material_keypoints/stage_a_k_sweep/tiny_overfit/coordinate_standard64_k10_seed42/model.pt,1.2128231385721024,1.0,float64,0.0014245338128154302,0.5620839949088442,0.6817084748464901,head,0.0011927519041681773,0.13216899736551685,110.81013319168937,-0.16038903594053697,110.65414658787,-16.772730435057554,17.772730435057554,1.5855390078553183e-14,43.97799749632005,36.47695129994141,
coordinate_only_control,42,"0,3,6,9",/Users/kirubeso.r/Documents/PhD/cluster_downloads/stage_a_k_sweep_53032295/keypoint_net/diagnostics/outputs/final_material_keypoints/stage_a_k_sweep/tiny_overfit/coordinate_standard64_k10_seed42/model.pt,1.2128231385721024,1.0,float64,0.0014245338128154302,0.5620839949088442,0.6817084748464901,backbone,0.004775735214463637,1.588337674949913,332.5849536505971,-0.32448811012031226,332.26181193246214,-106.91986306453391,107.91986306453391,1.5011700347321133e-12,176.08630141005048,438.36086504297117,
repaired_r1,43,"0,3,6,9",/Users/kirubeso.r/Documents/PhD/cluster_downloads/stage_r1_shape_gate_20260705_142241/keypoint_net/diagnostics/outputs/final_material_keypoints/stage_r1_shape_gate/tiny_overfit/coordinate_standard64_k10_shapejs_seed43/model.pt,1.2128231385721024,1.0,float64,0.008677583428567124,0.0016143816373723509,0.0019579594042911045,logits,0.00013277005704605166,0.0002486530467745311,1.8728096703934167,-0.5051559175907588,1.6171871525831554,0.053939112479567064,0.9460608875204329,0.0,1.0,1.0,1.0
repaired_r1,43,"0,3,6,9",/Users/kirubeso.r/Documents/PhD/cluster_downloads/stage_r1_shape_gate_20260705_142241/keypoint_net/diagnostics/outputs/final_material_keypoints/stage_r1_shape_gate/tiny_overfit/coordinate_standard64_k10_shapejs_seed43/model.pt,1.2128231385721024,1.0,float64,0.008677583428567124,0.0016143816373723509,0.0019579594042911045,head,0.005412574767845,0.008179291149923678,1.5111645567494372,-0.6297608477631539,1.1748505321271339,0.0483277276318439,0.9516722723681561,5.3049703251826636e-14,40.76653191440322,32.89439343705424,1.8449856188068874
repaired_r1,43,"0,3,6,9",/Users/kirubeso.r/Documents/PhD/cluster_downloads/stage_r1_shape_gate_20260705_142241/keypoint_net/diagnostics/outputs/final_material_keypoints/stage_r1_shape_gate/tiny_overfit/coordinate_standard64_k10_shapejs_seed43/model.pt,1.2128231385721024,1.0,float64,0.008677583428567124,0.0016143816373723509,0.0019579594042911045,backbone,0.5202804994124467,0.6585478624350745,1.2657554207370318,-0.6538852579320205,0.9730463327047914,0.17234119023251293,0.8276588097674871,4.554849384206945e-12,3918.6584007566253,2648.4608613391333,24.839529143401617
coordinate_only_control,43,"0,3,6,9",/Users/kirubeso.r/Documents/PhD/cluster_downloads/stage_a_k_sweep_53032295/keypoint_net/diagnostics/outputs/final_material_keypoints/stage_a_k_sweep/tiny_overfit/coordinate_standard64_k10_seed43/model.pt,1.2128231385721024,1.0,float64,0.0016978991381132735,0.5551672714045788,0.6733197125374114,logits,2.9781377483140288e-05,0.004002904002586781,134.40963249107227,0.03805053882648825,134.4513965128665,6.114358939755562,0.0,0.0,1.0,1.0,
coordinate_only_control,43,"0,3,6,9",/Users/kirubeso.r/Documents/PhD/cluster_downloads/stage_a_k_sweep_53032295/keypoint_net/diagnostics/outputs/final_material_keypoints/stage_a_k_sweep/tiny_overfit/coordinate_standard64_k10_seed43/model.pt,1.2128231385721024,1.0,float64,0.0016978991381132735,0.5551672714045788,0.6733197125374114,head,0.0006580449534378754,0.1303216554504602,198.0436971207068,0.12678079656045652,198.1729604274703,26.108137674740995,0.0,2.005722466996247e-14,22.095853484628275,32.55677762100788,
coordinate_only_control,43,"0,3,6,9",/Users/kirubeso.r/Documents/PhD/cluster_downloads/stage_a_k_sweep_53032295/keypoint_net/diagnostics/outputs/final_material_keypoints/stage_a_k_sweep/tiny_overfit/coordinate_standard64_k10_seed43/model.pt,1.2128231385721024,1.0,float64,0.0016978991381132735,0.5551672714045788,0.6733197125374114,backbone,0.004698279278430402,1.4881249130532752,316.7382832870734,-0.04736522875862692,316.69249333880896,-14.002381244507008,15.002381244507008,1.6069394052386056e-12,157.7589646781843,371.7613292978323,
